City_ID,City,Country,Max Temp,Current Descrption,Lat,Long,Hotel Name
526,Samarai,PG,80.02,overcast clouds,-10.6167,150.6667,Nuli Sapi
532,Kalawit,PH,77.05,overcast clouds,8.0667,122.5167,Ompoy Pension House
535,Lima,PE,71.85,clear sky,-12.0432,-77.0282,Hotel Kamana
539,Guayaramerín,BO,82.38,broken clouds,-10.8368,-65.3614,Hostal Funf
541,Yenagoa,NG,80.82,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
542,Khorramshahr,IR,76.96,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
548,Kātol,IN,86.81,clear sky,21.2667,78.5833,Rocks Celibration lawn
549,Virginia Beach,US,75.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
550,Grand Gaube,MU,78.39,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
554,Cayhagan,PH,78.55,heavy intensity rain,9.6697,122.4256,Melrose Beach Resort
555,São José da Coroa Grande,BR,80.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
557,Davila,PH,76.41,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
563,Labuhan,ID,76.84,overcast clouds,-6.8844,112.2051,DoubleFAG
565,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
566,Chennai,IN,84.18,few clouds,13.0878,80.2785,"Taj Connemara, Chennai"
568,Kavieng,PG,79.66,moderate rain,-2.5744,150.7967,Nusa Island Retreat
572,Kalabo,ZM,72.77,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
574,Sambava,MG,77.38,light rain,-14.2667,50.1667,Melrose
575,La Macarena,CO,83.73,broken clouds,2.1837,-73.7849,Hotel Punto Verde
578,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
579,Tutóia,BR,79.32,light rain,-2.7619,-42.2744,Pousada Guará's
581,Soyo,AO,77.83,scattered clouds,-6.1349,12.3689,Hotel Mpampa
582,Galesong,ID,73.42,few clouds,-5.3166,119.3661,Sapriadi Appy
583,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
586,La Palma,US,86.61,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
589,Vao,NC,74.77,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
591,Playas,EC,78.4,scattered clouds,-2.6333,-80.3833,Hostal Promenade
594,Marabu,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
595,Porto Real do Colégio,BR,81.7,scattered clouds,-10.1858,-36.84,Pousada e Restaurante Manah
596,Bajil,YE,87.85,clear sky,15.0584,43.2851,فندق حضرموت
598,Japura,ID,72.48,broken clouds,-0.3167,102.35,Rumah mbah Jamah
600,East Valencia,PH,79.05,overcast clouds,10.668,122.71,Abelardo's Beach Resort
604,Finschhafen,PG,79.77,overcast clouds,-6.6024,147.8681,Cossam Guest House
608,Tura,IN,72.28,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
614,Pak Phanang,TH,76.68,overcast clouds,8.3511,100.202,Green Park Inn Hotel
615,Uthal,PK,80.65,clear sky,25.8072,66.6219,Al-Mustafa Hotel
618,Bonthe,SL,79.16,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
625,Kanniyākumāri,IN,81.82,few clouds,8.0833,77.5667,Sparsa Kanyakumari
627,Sinnamary,GF,78.84,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
632,Kuching,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
633,Payo,ID,71.64,overcast clouds,-3.7508,103.6372,Mess keban agung
635,La Santisima Trinidad,BO,89.58,broken clouds,-14.8333,-64.9,Hotel Piesta
638,Antalaha,MG,75.49,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
642,Zinder,NE,89.33,scattered clouds,13.8072,8.9881,Hotel de Ville
643,Ilo,PE,72.46,clear sky,-17.6394,-71.3375,Torreblanca Hotel
648,Piney Green,US,75.38,broken clouds,34.716,-77.3202,Holiday City Mobile Home Community
650,Santa Branca,BR,73.08,scattered clouds,-23.3967,-45.8839,Jardins do Mirante
651,Goya,AR,79.93,scattered clouds,-29.14,-59.2626,Apart Costanera Goya
652,Diego de Almagro,CL,83.7,few clouds,-26.3667,-70.05,hotel luna del desierto
655,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
656,Isangel,VU,79.45,overcast clouds,-19.55,169.2667,Tanna Lodge
657,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
660,Camocim,BR,81.3,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
662,Maunabo,PR,85.46,few clouds,18.0072,-65.8993,Maunacaribe
663,Riohacha,CO,84.31,broken clouds,11.5444,-72.9072,Hotel Taroa
664,Las Cruces,US,86.38,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
665,Wajir,KE,86.86,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
667,Wanlaweyn,SO,80.58,broken clouds,2.6185,44.8938,GAASHAAN HOME
670,Celestún,MX,88.61,clear sky,20.8667,-90.4,Posada Lilia
671,Ugoofaaru,MV,82.89,broken clouds,5.6667,73.0,Ungoofaaru Inn
672,Mogadishu,SO,81.12,broken clouds,2.0371,45.3438,Hotel Juba
675,Porto de Moz,BR,82.47,very heavy rain,-1.7483,-52.2383,Dormitório labelle
678,Innisfail,AU,73.29,broken clouds,-17.5333,146.0333,Moondarra Motel
681,Alta Floresta,BR,85.82,thunderstorm,-9.8756,-56.0861,Floresta Amazonica Hotel
684,Meadow Lake,US,79.86,clear sky,34.8014,-106.5436,TumbleWeed RV Park
685,São João da Barra,BR,82.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
688,Mananjary,MG,75.63,scattered clouds,-21.2167,48.3333,Vahiny Lodge
690,Kieta,PG,78.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
691,Twentynine Palms,US,88.29,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
693,Achutupo,PA,83.23,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
695,Nabire,ID,74.91,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
697,Pandan,PH,78.39,overcast clouds,14.0453,124.1694,Bonifacio Lodge
701,Belém,BR,77.04,moderate rain,-1.4558,-48.5044,Mercure Belém Boulevard
702,Gorontalo,ID,74.39,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
